param,block,I_rms,I_max,D_min,I_min,asymmetry,flag_plus,flag_minus,clog_driver,source
temperature,forcing,0.00437308981471222,0.0148274485288249,0.000406036860446182,0.000340049473797946,0.431547421383462,OK,OK,0,"Campos2006/Manriquez seasonal"
influent_PAT,forcing,0.0563940451412344,0.434294481903252,8.38012461415565e-05,8.94012827593009e-05,0.0391135887211687,OK,OK,0,"Manriquez B.1 PAT (challenge multiplier)"
dispersivity,transport,0.745054433864722,4.57175573928632,0.00279997808088997,0.00295484337037968,0.195538184029632,OK,OK,0,"Schijven2013 T1 dispersivity"
transport_P,transport,0.000639487017010221,0.00112255882876431,-0.00040128839343637,0.000181064051271487,3.45701397789761,OK,OK,0,"Lund phase transfer"
attach_sand,transport,0.10625034785014,0.199655724260662,0.0118269186642658,0.0129713714348667,0.395611290006204,OK,OK,0,"Diehl2025/Lund b_sand"
sand_pathogen,transport,0.478887926241009,0.502335451322129,0.942974261454762,0.502214256769069,1.72512596276838,OK,OK,0,"Schijven2013 T4 sticking alpha (geo-mean)"
mu_HET,kinetics,8.0097755501669e-05,0.000297757261604524,1.15494788099392e-06,1.24920736552945e-06,1.18640600522713,OK,OK,0,"Campos2006 kgmaxa"
mu_PHO,kinetics,0.00354516036476805,0.0259241597440882,4.46550510060754e-06,5.68933073708882e-06,0.323528893824337,OK,OK,0,"Campos2006 kgmaxb"
d_HET,kinetics,0.000380823229582268,0.000646671751192201,8.44983395731705e-06,-1.74925002177742e-05,0.167484593910748,OK,OK,0,"Campos2006 T3 kdb"
hydrolysis,kinetics,0.000489179535627502,0.00105753548751731,4.44281032404431e-06,-9.61099116981219e-06,0.336480983531918,OK,OK,0,"Campos2006 T3 kh"
theta_growth,kinetics,0.000836096405806161,0.00614420092124883,7.61475842483636e-07,-1.52975494347282e-06,0.480043962239786,OK,OK,0,"Campos2006 T2 theta_growth=1.047 (dev)"
theta_death,kinetics,0.00118586421283502,0.00253352468413145,1.60874295700355e-05,2.36529312061804e-05,0.0522446963046464,OK,OK,0,"Campos2006 T2 theta_death=1.066 (dev)"
K_O2_HET,kinetics,0,0,0,0,0,OK,OK,0,"O2 half-sat (Reichert)"
K_DOM_HET,kinetics,0,0,0,0,0,OK,OK,0,"Campos2006 T3 ksCd"
K_HPO4_HET,kinetics,0,0,0,0,0,OK,OK,0,"Campos2006 T3 ksp (P-limiting)"
marker_growth,pathogen,2.70327150767306e-05,7.3952532759541e-05,1.60633254162566e-06,-3.47380540440505e-06,0.34410840252076,OK,OK,0,"Manriquez B.4 mu_PAT"
inactivation,pathogen,5.42414499320192e-06,1.48444814906568e-05,6.03538501458764e-07,6.53056652159334e-07,0.330957910054596,OK,OK,0,"Schijven2013 mul,mus; Manriquez B.4"
bacterivory,pathogen,0.00122347514403156,0.00206721291982063,0.000243346800996377,0.000256565424302508,0.571174836535342,OK,OK,0,"Manriquez B.4 p_PAT"
zeta_0,biofilm,0.00811488249680737,0.0133149505892137,1.07962799542928e-06,-2.33625916873826e-06,0.222963519128519,OK,OK,0,"Cahn-Hilliard cohesion"
kappa,biofilm,0,0,0,0,0,OK,OK,0,"Cahn-Hilliard interfacial width (sub-grid)"
zeta_1,biofilm,0.00106134575304051,0.00169510948359134,2.04615594445214e-06,2.21383120874722e-06,0.361935148704183,OK,OK,0,"Cahn-Hilliard stable-fraction parameter"
detach_scale,biofilm,3.46824403314514e-07,7.65686914205474e-07,3.73879781995212e-09,-8.09091646812506e-09,0.337278619586645,OK,OK,0,"detachment-law scale"
light_att_water,light,1.13840545411403e-05,3.11460359569163e-05,4.74461067725973e-08,-1.19732538348071e-07,0.433580375000832,OK,OK,0,"Lund supernatant optical depth"
light_att_sand,light,0.000525428992877749,0.000949236348744596,1.11487499935073e-07,-2.31173279694747e-06,1.30527537048944,OK,OK,0,"Lund sand-bed optical depth"
attenuation_P,light,1.59666762247543e-06,1.17760714183252e-05,2.81747701384727e-09,-2.92397465049675e-09,0.358866207613425,OK,OK,0,"Lund biofilm self-shading (all particles)"
beta_porosity,biofilm,0.0223246269000396,0.039735385036288,-0.00604751938048896,0.00479634660768393,5.38578554906347,OK,OK,0,"Lund beta=0.99; constrained to [0.95, 0.99]"
