qoi,param,block,source,mu_star,sigma,n
Lmean,velocity,forcing,Schijven2013 T1 filtration-rate spread; nom q=7.2 m/d,10.875583482802362,4.333660916823538,24
Lmean,temperature,forcing,Campos2006/Manriquez seasonal 3-25 °C,0.00031477002610123974,0.00045674036072020264,24
Lmean,influent_PAT,forcing,Manriquez2026 Table B.1 PAT=5.36e-3 ±3×,0.6098513141243121,0.2303832295781264,24
Lmean,dispersivity,transport,Schijven2013 T1 dispersivity; nom 0.012 ±3×,1.8619293707832434,1.6236370020452904,24
Lmean,transport_P,transport,Lund phase-transfer; nom 5.47 ±3×,3.5935969613839123e-5,6.14530456825481e-5,24
Lmean,attach_sand,transport,Diehl2025/Lund b_sand=547 ±3×,1.591819787941558,2.218320525250446,24
Lmean,sand_pathogen,transport,Schijven2013 T4 sticking efficiency α (MS2 5.6e-3–ECWR1 0.71),2.1806726628036803,2.379096034127553,24
Lmean,mu_HET,kinetics,Campos2006 kgmaxa 0.70–1.0/d (rel. spread); nom 0.018,9.249287448501485e-5,0.00020424164080226577,24
Lmean,mu_PHO,kinetics,Campos2006 kgmaxb algae; nom 5.5 ±3×,0.001475474125974572,0.0011284409856276434,24
Lmean,d_HET,kinetics,Campos2006 T3 kdb 0.0021–0.17/h ×24 = 0.05–4.08/d,4.784189776307284e-5,0.00014696063833516884,24
Lmean,hydrolysis,kinetics,Campos2006 T3 kh 0.0028–0.0034/h ×24≈0.067–0.082; nom 0.09,2.2423917893057672e-5,5.7169859859282423e-5,24
Lmean,theta_growth,kinetics,Campos2006 T2 θ_kgb/kgp=1.047,0.0006336802067255818,0.0008742822414264657,24
Lmean,theta_death,kinetics,"Campos2006 T2 θ_kga=1.066, θ_kr*=1.08",1.0400115882504127e-5,2.1763287792800812e-5,24
Lmean,K_O2_HET,kinetics,O2 half-sat; nom 3e-3 (Reichert),5.467687837336211e-6,1.737310096896917e-5,24
Lmean,K_DOM_HET,kinetics,Campos2006 T3 ksCd 0.80–0.98 mgC/L; nom 2e-4,6.034911764361982e-5,0.00023986170388472276,24
Lmean,K_HPO4_HET,kinetics,"Campos2006 T3 ksp 0.001–0.05 mgP/L=1e-6–5e-5; nom 1.4e-8 (P-limiting, influent HPO4=0)",0.0,0.0,24
Lmean,marker_growth,pathogen,Manriquez B.4 μ̂_PAT=0.2 ±3×,1.9647535193357947e-5,7.125592895006785e-5,24
Lmean,inactivation,pathogen,"Schijven2013 T2/T3 µl,µs 0–1.84/d; Manriquez B.4 0.02",1.5583030032554717e-5,3.7986561190809506e-5,24
Lmean,bacterivory,pathogen,Manriquez B.4 p̂_PAT=8.0 ±2.5×,6.572206117960105e-5,7.632030821667535e-5,24
Lmean,beta_porosity,biofilm,Diehl2025/Lund biofilm porosity (0.99),0.0019207738755951575,0.002459722311924281,24
Lmean,zeta_0,biofilm,Cahn-Hilliard cohesion; nom 1e2,9.792852852704335e-8,4.0646415825975186e-7,24
Lmean,detach_scale,biofilm,detachment-law scale (relative to nominal),6.06082651319648e-7,2.488552809324818e-6,24
Lmin,velocity,forcing,Schijven2013 T1 filtration-rate spread; nom q=7.2 m/d,5.027626631029129,3.8799340128132056,24
Lmin,temperature,forcing,Campos2006/Manriquez seasonal 3-25 °C,0.00015466989591840334,0.0002172826121209083,24
Lmin,influent_PAT,forcing,Manriquez2026 Table B.1 PAT=5.36e-3 ±3×,0.7635198128018192,0.2685500286438129,24
Lmin,dispersivity,transport,Schijven2013 T1 dispersivity; nom 0.012 ±3×,0.9484176051449561,1.10198769508515,24
Lmin,transport_P,transport,Lund phase-transfer; nom 5.47 ±3×,7.474282296188916e-5,0.00015853059710205884,24
Lmin,attach_sand,transport,Diehl2025/Lund b_sand=547 ±3×,2.8149301959460087,4.230468051077421,24
Lmin,sand_pathogen,transport,Schijven2013 T4 sticking efficiency α (MS2 5.6e-3–ECWR1 0.71),3.5277230190088935,3.846252907005997,24
Lmin,mu_HET,kinetics,Campos2006 kgmaxa 0.70–1.0/d (rel. spread); nom 0.018,6.794480695187525e-6,2.3651867764333966e-5,24
Lmin,mu_PHO,kinetics,Campos2006 kgmaxb algae; nom 5.5 ±3×,0.00013830413746475332,0.0003264712137297019,24
Lmin,d_HET,kinetics,Campos2006 T3 kdb 0.0021–0.17/h ×24 = 0.05–4.08/d,4.563042638979791e-6,8.029310489935785e-6,24
Lmin,hydrolysis,kinetics,Campos2006 T3 kh 0.0028–0.0034/h ×24≈0.067–0.082; nom 0.09,2.751313696753669e-6,6.355571052132934e-6,24
Lmin,theta_growth,kinetics,Campos2006 T2 θ_kgb/kgp=1.047,0.00014194722553289552,0.0003363424904182566,24
Lmin,theta_death,kinetics,"Campos2006 T2 θ_kga=1.066, θ_kr*=1.08",5.630101284283917e-6,8.80619459944262e-6,24
